2019-12-14 16:20:45.0196 Info Loading Cardigann definition /app/Jackett/Definitions/sportscult.yml 
2019-12-14 16:20:45.0239 Info Loading Cardigann definition /app/Jackett/Definitions/hdcenter.yml 
2019-12-14 16:20:45.0273 Info Loading Cardigann definition /app/Jackett/Definitions/cinematik.yml 
2019-12-14 16:20:45.0364 Info Loading Cardigann definition /app/Jackett/Definitions/yggcookie.yml 
2019-12-14 16:20:45.0482 Info Loading Cardigann definition /app/Jackett/Definitions/funkytorrents.yml 
2019-12-14 16:20:45.0519 Info Loading Cardigann definition /app/Jackett/Definitions/thevault.yml 
2019-12-14 16:20:45.0667 Info Loading Cardigann definition /app/Jackett/Definitions/metal-iplay-ro.yml 
2019-12-14 16:20:45.0706 Info Loading Cardigann definition /app/Jackett/Definitions/diablotorrent.yml 
2019-12-14 16:20:45.0773 Info Loading Cardigann definition /app/Jackett/Definitions/itorrent.yml 
2019-12-14 16:20:45.0773 Info Loading Cardigann definition /app/Jackett/Definitions/skytorrentsclone.yml 
2019-12-14 16:20:45.0826 Info Loading Cardigann definition /app/Jackett/Definitions/gfxpeers.yml 
2019-12-14 16:20:45.0852 Info Loading Cardigann definition /app/Jackett/Definitions/torrentparadise.yml 
2019-12-14 16:20:45.0852 Info Loading Cardigann definition /app/Jackett/Definitions/majomparade.yml 
2019-12-14 16:20:45.0940 Info Loading Cardigann definition /app/Jackett/Definitions/audiobooktorrents.yml 
2019-12-14 16:20:45.1053 Info Loading Cardigann definition /app/Jackett/Definitions/fullmixmusic.yml 
2019-12-14 16:20:45.1093 Info Loading Cardigann definition /app/Jackett/Definitions/theshow.yml 
2019-12-14 16:20:45.1167 Info Loading Cardigann definition /app/Jackett/Definitions/tapochek.yml 
2019-12-14 16:20:45.1668 Info Loading Cardigann definition /app/Jackett/Definitions/springsunday.yml 
2019-12-14 16:20:45.1708 Info Loading Cardigann definition /app/Jackett/Definitions/twilight.yml 
2019-12-14 16:20:45.1752 Info Loading Cardigann definition /app/Jackett/Definitions/hdbitscom.yml 
2019-12-14 16:20:45.1790 Info Loading Cardigann definition /app/Jackett/Definitions/tasmanit.yml 
2019-12-14 16:20:45.1843 Info Loading Cardigann definition /app/Jackett/Definitions/acgrip.yml 
2019-12-14 16:20:45.1860 Info Loading Cardigann definition /app/Jackett/Definitions/sdbits.yml 
2019-12-14 16:20:45.1860 Info Loading Cardigann definition /app/Jackett/Definitions/kapaki.yml 
2019-12-14 16:20:45.1991 Info Loading Cardigann definition /app/Jackett/Definitions/tekno3d.yml 
2019-12-14 16:20:45.2089 Info Loading Cardigann definition /app/Jackett/Definitions/torrentproject2.yml 
2019-12-14 16:20:45.2135 Info Loading Cardigann definition /app/Jackett/Definitions/concen.yml 
2019-12-14 16:20:45.2135 Info Loading Cardigann definition /app/Jackett/Definitions/pt99.yml 
2019-12-14 16:20:45.2192 Info Loading Cardigann definition /app/Jackett/Definitions/bitturk.yml 
2019-12-14 16:20:45.2257 Info Loading Cardigann definition /app/Jackett/Definitions/movcr.yml 
2019-12-14 16:20:45.2257 Info Loading Cardigann definition /app/Jackett/Definitions/rockbox.yml 
2019-12-14 16:20:45.2330 Info Loading Cardigann definition /app/Jackett/Definitions/asiancinema.yml 
2019-12-14 16:20:45.2448 Info Loading Cardigann definition /app/Jackett/Definitions/ccfbits.yml 
2019-12-14 16:20:45.2490 Info Loading Cardigann definition /app/Jackett/Definitions/documentarytorrents.yml 
2019-12-14 16:20:45.2557 Info Loading Cardigann definition /app/Jackett/Definitions/1337x.yml 
2019-12-14 16:20:45.2659 Info Loading Cardigann definition /app/Jackett/Definitions/hachede.yml 
